RecordNumber,SourceName,TaskCategory,EventCode,EventType
11499,"igfxCUIService2.0.0.0",None,0,4
11498,"igfxCUIService2.0.0.0",None,0,4
45525,"Microsoft-Windows-DNS Client Events","Name resolution for the name %1 timed out after none of the configured DNS servers responded.",1014,3
11477,"Microsoft-Windows-Perflib","The operation completed successfully.",1008,2
11476,"Windows Error Reporting","The operation completed successfully.",1001,4
11474,"Application Error","Application Crashing Events",1000,2
11463,"Windows Error Reporting","The operation completed successfully.",1001,4
11462,"Windows Error Reporting","The operation completed successfully.",1001,4
45521,"Microsoft-Windows-DNS Client Events","Name resolution for the name %1 timed out after none of the configured DNS servers responded.",1014,3
45520,"Microsoft-Windows-DistributedCOM","The operation completed successfully.",10016,2
11461,"Application Error","Application Crashing Events",1000,2
11459,"Microsoft-Windows-Security-SPP","The operation completed successfully.",8198,2
11455,"Microsoft-Windows-Security-SPP","The operation completed successfully.",8233,3
45519,"Microsoft-Windows-DistributedCOM","The operation completed successfully.",10016,2
11448,"igfxCUIService2.0.0.0",None,0,4
11447,"igfxCUIService2.0.0.0",None,0,4
11446,"igfxCUIService2.0.0.0",None,0,4
11443,"Microsoft-Windows-Security-SPP","The operation completed successfully.",8198,2
11440,"Microsoft-Windows-Security-SPP","The operation completed successfully.",8233,3
11432,"igfxCUIService2.0.0.0",None,0,4
11431,"igfxCUIService2.0.0.0",None,0,4
45500,"Microsoft-Windows-DistributedCOM","The operation completed successfully.",10010,2
45499,"Microsoft-Windows-DistributedCOM","The operation completed successfully.",10010,2
45498,"Microsoft-Windows-DistributedCOM","The operation completed successfully.",10010,2
45497,"Microsoft-Windows-DistributedCOM","The operation completed successfully.",10010,2
11430,"Microsoft-Windows-Apps","Activation of app %1 failed with error: %2 See the Microsoft-Windows-TWinUI/Operational log for additional information.",5973,2
11429,"Microsoft-Windows-Apps","Activation of app %1 failed with error: %2 See the Microsoft-Windows-TWinUI/Operational log for additional information.",5973,2
11428,"Microsoft-Windows-Apps","Activation of app %1 failed with error: %2 See the Microsoft-Windows-TWinUI/Operational log for additional information.",5973,2
11427,"Microsoft-Windows-Apps","Activation of app %1 failed with error: %2 See the Microsoft-Windows-TWinUI/Operational log for additional information.",5973,2
11410,"Windows Error Reporting","The operation completed successfully.",1001,4
11409,"Windows Error Reporting","The operation completed successfully.",1001,4
11408,"Windows Error Reporting","The operation completed successfully.",1001,4
11407,"Windows Error Reporting","The operation completed successfully.",1001,4
11406,"Windows Error Reporting","The operation completed successfully.",1001,4
11405,"Windows Error Reporting","The operation completed successfully.",1001,4
11404,"Windows Error Reporting","The operation completed successfully.",1001,4
11403,"Windows Error Reporting","The operation completed successfully.",1001,4
11402,"Windows Error Reporting","The operation completed successfully.",1001,4
11401,"Windows Error Reporting","The operation completed successfully.",1001,4
11400,"Windows Error Reporting","The operation completed successfully.",1001,4
11399,"Windows Error Reporting","The operation completed successfully.",1001,4
45496,"Microsoft-Windows-DNS Client Events","Name resolution for the name %1 timed out after none of the configured DNS servers responded.",1014,3
11372,"Windows Error Reporting","The operation completed successfully.",1001,4
11371,"Windows Error Reporting","The operation completed successfully.",1001,4
11369,"Application Error","Application Crashing Events",1000,2
11367,"Application Error","Application Crashing Events",1000,2
45491,"Microsoft-Windows-DNS Client Events","Name resolution for the name %1 timed out after none of the configured DNS servers responded.",1014,3
11358,"Microsoft-Windows-Security-SPP","The operation completed successfully.",8198,2
11354,"Microsoft-Windows-Security-SPP","The operation completed successfully.",8233,3
45490,"Microsoft-Windows-DistributedCOM","The operation completed successfully.",10016,2
11351,"igfxCUIService2.0.0.0",None,0,4
11350,"igfxCUIService2.0.0.0",None,0,4
11349,"igfxCUIService2.0.0.0",None,0,4
11348,"Microsoft-Windows-Security-SPP","The operation completed successfully.",8198,2
11345,"Microsoft-Windows-Security-SPP","The operation completed successfully.",8233,3
11331,"igfxCUIService2.0.0.0",None,0,4
11330,"igfxCUIService2.0.0.0",None,0,4
45474,"Microsoft-Windows-DNS Client Events","Name resolution for the name %1 timed out after none of the configured DNS servers responded.",1014,3
11301,MsiInstaller,"The operation completed successfully.",1033,4
11294,"Windows Error Reporting","The operation completed successfully.",1001,4
11293,"Application Error","Application Crashing Events",1000,2
11292,"Windows Error Reporting","The operation completed successfully.",1001,4
11291,"Application Error","Application Crashing Events",1000,2
11288,"Windows Error Reporting","The operation completed successfully.",1001,4
11287,"Windows Error Reporting","The operation completed successfully.",1001,4
11286,"Windows Error Reporting","The operation completed successfully.",1001,4
11285,"Windows Error Reporting","The operation completed successfully.",1001,4
11284,"Windows Error Reporting","The operation completed successfully.",1001,4
