RecordNumber,SourceName,TaskCategory,EventCode,EventType,Type
45626,"Microsoft-Windows-WindowsUpdateClient","Windows Update Agent",44,4,Information
45625,"Microsoft-Windows-Kernel-General","The operation completed successfully.",15,4,Information
45624,"Microsoft-Windows-Kernel-General","The operation completed successfully.",15,4,Information
45623,"Microsoft-Windows-Kernel-General","The operation completed successfully.",15,4,Information
45622,"Microsoft-Windows-Kernel-General","The operation completed successfully.",15,4,Information
45621,"Microsoft-Windows-Kernel-General","The operation completed successfully.",15,4,Information
45620,"Microsoft-Windows-Kernel-General","The operation completed successfully.",15,4,Information
45619,"Microsoft-Windows-Kernel-General","The operation completed successfully.",15,4,Information
45618,"Microsoft-Windows-Kernel-General","The operation completed successfully.",15,4,Information
45617,"Microsoft-Windows-Kernel-General","The operation completed successfully.",15,4,Information
45616,"Microsoft-Windows-Kernel-General","The operation completed successfully.",15,4,Information
45615,"Microsoft-Windows-Kernel-General","The operation completed successfully.",15,4,Information
45614,"Microsoft-Windows-Kernel-General","The operation completed successfully.",15,4,Information
45613,"Microsoft-Windows-Kernel-General","The operation completed successfully.",15,4,Information
45612,"Microsoft-Windows-Kernel-General","The operation completed successfully.",15,4,Information
45611,"Microsoft-Windows-Kernel-General","The operation completed successfully.",15,4,Information
45610,"Microsoft-Windows-Kernel-General","The operation completed successfully.",15,4,Information
45609,"Microsoft-Windows-Kernel-General","The operation completed successfully.",15,4,Information
45608,"Microsoft-Windows-Kernel-General","The operation completed successfully.",15,4,Information
45607,"Microsoft-Windows-Kernel-General","The operation completed successfully.",15,4,Information
45606,"Microsoft-Windows-Kernel-General","The operation completed successfully.",15,4,Information
45605,"Microsoft-Windows-Kernel-General","The operation completed successfully.",15,4,Information
45604,"Microsoft-Windows-Kernel-General","The operation completed successfully.",15,4,Information
45603,"Microsoft-Windows-Kernel-General","The operation completed successfully.",15,4,Information
45602,"Microsoft-Windows-Kernel-General","The operation completed successfully.",15,4,Information
45601,"Microsoft-Windows-Kernel-General","The operation completed successfully.",15,4,Information
45600,"Microsoft-Windows-Kernel-General","The operation completed successfully.",15,4,Information
45599,"Microsoft-Windows-Kernel-General","The operation completed successfully.",15,4,Information
45598,"Microsoft-Windows-WindowsUpdateClient","Windows Update Agent",44,4,Information
45597,"Microsoft-Windows-DNS Client Events","Name resolution for the name %1 timed out after none of the configured DNS servers responded.",1014,3,Warning
45596,"Microsoft-Windows-Power-Troubleshooter","The operation completed successfully.",1,4,Information
45595,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
45594,"Microsoft-Windows-Kernel-Power","The process cannot access the file because another process has locked a portion of the file.",131,4,Information
45593,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
45592,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
45591,"Microsoft-Windows-Kernel-General",Shell,1,4,Information
45590,"Microsoft-Windows-Kernel-Power","The semaphore is set and cannot be closed.",107,4,Information
