RecordNumber,SourceName,TaskCategory,EventCode,EventType,cluster
11499,igfxCUIService2.0.0.0,14,0,4,1
11498,igfxCUIService2.0.0.0,14,0,4,1
45525,Microsoft-Windows-DNS Client Events,13,1014,3,0
11477,Microsoft-Windows-Perflib,23,1008,2,0
11476,Windows Error Reporting,23,1001,4,0
11474,Application Error,1,1000,2,0
11463,Windows Error Reporting,23,1001,4,0
11462,Windows Error Reporting,23,1001,4,0
45521,Microsoft-Windows-DNS Client Events,13,1014,3,0
45520,Microsoft-Windows-DistributedCOM,23,10016,2,0
11461,Application Error,1,1000,2,0
11459,Microsoft-Windows-Security-SPP,23,8198,2,0
11455,Microsoft-Windows-Security-SPP,23,8233,3,0
45519,Microsoft-Windows-DistributedCOM,23,10016,2,0
11448,igfxCUIService2.0.0.0,14,0,4,1
11447,igfxCUIService2.0.0.0,14,0,4,1
11446,igfxCUIService2.0.0.0,14,0,4,1
11443,Microsoft-Windows-Security-SPP,23,8198,2,0
11440,Microsoft-Windows-Security-SPP,23,8233,3,0
11432,igfxCUIService2.0.0.0,14,0,4,1
11431,igfxCUIService2.0.0.0,14,0,4,1
45500,Microsoft-Windows-DistributedCOM,23,10010,2,0
45499,Microsoft-Windows-DistributedCOM,23,10010,2,0
45498,Microsoft-Windows-DistributedCOM,23,10010,2,0
45497,Microsoft-Windows-DistributedCOM,23,10010,2,0
11430,Microsoft-Windows-Apps,0,5973,2,0
11429,Microsoft-Windows-Apps,0,5973,2,0
11428,Microsoft-Windows-Apps,0,5973,2,0
11427,Microsoft-Windows-Apps,0,5973,2,0
11410,Windows Error Reporting,23,1001,4,0
11409,Windows Error Reporting,23,1001,4,0
11408,Windows Error Reporting,23,1001,4,0
11407,Windows Error Reporting,23,1001,4,0
11406,Windows Error Reporting,23,1001,4,0
11405,Windows Error Reporting,23,1001,4,0
11404,Windows Error Reporting,23,1001,4,0
11403,Windows Error Reporting,23,1001,4,0
11402,Windows Error Reporting,23,1001,4,0
11401,Windows Error Reporting,23,1001,4,0
11400,Windows Error Reporting,23,1001,4,0
11399,Windows Error Reporting,23,1001,4,0
45496,Microsoft-Windows-DNS Client Events,13,1014,3,0
11372,Windows Error Reporting,23,1001,4,0
11371,Windows Error Reporting,23,1001,4,0
11369,Application Error,1,1000,2,0
11367,Application Error,1,1000,2,0
45491,Microsoft-Windows-DNS Client Events,13,1014,3,0
11358,Microsoft-Windows-Security-SPP,23,8198,2,0
11354,Microsoft-Windows-Security-SPP,23,8233,3,0
45490,Microsoft-Windows-DistributedCOM,23,10016,2,0
11351,igfxCUIService2.0.0.0,14,0,4,1
11350,igfxCUIService2.0.0.0,14,0,4,1
11349,igfxCUIService2.0.0.0,14,0,4,1
11348,Microsoft-Windows-Security-SPP,23,8198,2,0
11345,Microsoft-Windows-Security-SPP,23,8233,3,0
11331,igfxCUIService2.0.0.0,14,0,4,1
11330,igfxCUIService2.0.0.0,14,0,4,1
45474,Microsoft-Windows-DNS Client Events,13,1014,3,0
11301,MsiInstaller,23,1033,4,0
11294,Windows Error Reporting,23,1001,4,0
11293,Application Error,1,1000,2,0
11292,Windows Error Reporting,23,1001,4,0
11291,Application Error,1,1000,2,0
11288,Windows Error Reporting,23,1001,4,0
11287,Windows Error Reporting,23,1001,4,0
11286,Windows Error Reporting,23,1001,4,0
11285,Windows Error Reporting,23,1001,4,0
11284,Windows Error Reporting,23,1001,4,0
11283,Windows Error Reporting,23,1001,4,0
11282,Windows Error Reporting,23,1001,4,0
45472,Microsoft-Windows-DNS Client Events,13,1014,3,0
11266,Microsoft-Windows-Security-SPP,23,8198,2,0
11262,Microsoft-Windows-Security-SPP,23,8233,3,0
45471,Microsoft-Windows-DistributedCOM,23,10016,2,0
11255,igfxCUIService2.0.0.0,14,0,4,1
11254,igfxCUIService2.0.0.0,14,0,4,1
11253,igfxCUIService2.0.0.0,14,0,4,1
11250,Microsoft-Windows-Security-SPP,23,8198,2,0
11247,Microsoft-Windows-Security-SPP,23,8233,3,0
11244,Microsoft-Windows-Security-SPP,23,8198,2,0
11241,Microsoft-Windows-Security-SPP,23,8233,3,0
11232,igfxCUIService2.0.0.0,14,0,4,1
11231,igfxCUIService2.0.0.0,14,0,4,1
45454,Microsoft-Windows-DNS Client Events,13,1014,3,0
45444,Microsoft-Windows-FilterManager,23,4,3,0
45440,Microsoft-Windows-DNS Client Events,13,1014,3,0
45430,Microsoft-Windows-DNS Client Events,13,1014,3,0
11175,iPod Service,14,0,4,1
11174,Microsoft-Windows-Security-SPP,23,8198,2,0
11168,Microsoft-Windows-Security-SPP,23,8233,3,0
45429,Microsoft-Windows-DistributedCOM,23,10016,2,0
11165,igfxCUIService2.0.0.0,14,0,4,1
11164,igfxCUIService2.0.0.0,14,0,4,1
11163,igfxCUIService2.0.0.0,14,0,4,1
11153,Microsoft-Windows-Search,18,1003,4,1
45424,Microsoft-Windows-TaskScheduler,21,414,3,0
45423,Microsoft-Windows-TaskScheduler,21,414,3,0
45422,Microsoft-Windows-TaskScheduler,21,414,3,0
45421,Microsoft-Windows-TaskScheduler,21,414,3,0
45389,Microsoft-Windows-Kernel-PnP,24,219,3,0
11138,Microsoft-Windows-Security-SPP,23,8198,2,0
11135,Microsoft-Windows-Security-SPP,23,8233,3,0
11119,NVNetworkService,14,0,4,1
11112,Bonjour Service,14,100,4,1
11109,igfxCUIService2.0.0.0,14,0,4,1
11108,igfxCUIService2.0.0.0,14,0,4,1
45363,Microsoft-Windows-DNS Client Events,13,1014,3,0
45358,Microsoft-Windows-FilterManager,23,4,3,0
45357,Microsoft-Windows-FilterManager,23,4,3,0
45355,Microsoft-Windows-FilterManager,23,4,3,0
11100,Microsoft-Windows-CAPI2,23,513,2,0
45353,Microsoft-Windows-DNS Client Events,13,1014,3,0
45343,disk,23,51,3,0
45342,disk,23,51,3,0
45341,disk,23,51,3,0
45340,disk,23,153,3,0
45339,disk,23,51,3,0
45338,disk,23,51,3,0
45337,disk,23,153,3,0
45336,disk,23,51,3,0
45335,disk,23,153,3,0
45334,disk,23,153,3,0
45333,disk,23,153,3,0
45332,disk,23,153,3,0
45331,disk,23,153,3,0
45330,disk,23,51,3,0
45329,disk,23,153,3,0
45328,disk,23,153,3,0
45327,disk,23,153,3,0
45326,disk,23,153,3,0
45325,disk,23,153,3,0
45324,disk,23,153,3,0
45323,disk,23,153,3,0
45322,disk,23,153,3,0
45321,disk,23,153,3,0
45320,disk,23,153,3,0
45319,disk,23,153,3,0
45318,disk,23,153,3,0
45317,disk,23,153,3,0
45316,disk,23,51,3,0
45315,disk,23,153,3,0
45314,Microsoft-Windows-DNS Client Events,13,1014,3,0
45313,disk,23,153,3,0
45312,disk,23,153,3,0
45311,disk,23,153,3,0
45310,disk,23,153,3,0
45309,disk,23,153,3,0
11098,Windows Error Reporting,23,1001,4,0
45307,disk,23,51,3,0
45306,disk,23,51,3,0
45305,Microsoft-Windows-WPD-ClassInstaller,5,25089,4,1
45296,Microsoft-Windows-WPD-ClassInstaller,5,25089,4,1
45294,disk,23,153,3,0
45293,disk,23,11,2,0
45292,disk,23,153,3,0
45291,disk,23,11,2,0
45290,disk,23,153,3,0
45285,Schannel,23,36874,2,0
45284,Schannel,23,36874,2,0
45283,Schannel,23,36874,2,0
45282,Schannel,23,36874,2,0
45281,Schannel,23,36874,2,0
45280,Schannel,23,36874,2,0
45279,Schannel,23,36874,2,0
45278,Schannel,23,36874,2,0
45277,Schannel,23,36874,2,0
45276,Schannel,23,36874,2,0
45275,Schannel,23,36874,2,0
45274,Schannel,23,36874,2,0
45273,Schannel,23,36874,2,0
45272,Schannel,23,36874,2,0
45271,Schannel,23,36874,2,0
45270,Schannel,23,36874,2,0
45269,Schannel,23,36874,2,0
45268,Schannel,23,36874,2,0
45267,Schannel,23,36874,2,0
